,State,Country,Last Update,Lat,Long,Confirmed,Recovered,Deaths,Active
263,Jharkhand,India,2021-04-24 09:20:58,23.654536,85.557631,190692,145499,1778,43415
264,Karnataka,India,2021-04-24 09:20:58,14.70518,76.166436,1274959,1046554,14075,214330
265,Kerala,India,2021-04-24 09:20:58,10.450898,76.405749,1350501,1166135,5055,179311
266,Ladakh,India,2021-04-24 09:20:58,34.1526,77.5771,13089,10920,135,2034
267,Lakshadweep,India,2021-04-24 09:20:58,13.6999972,72.1833326,1805,884,1,920
268,Madhya Pradesh,India,2021-04-24 09:20:58,23.541513,78.289633,472785,380208,4937,87640
269,Maharashtra,India,2021-04-24 09:20:58,19.449759,76.108221,4161676,3404792,63252,693632
270,Manipur,India,2021-04-24 09:20:58,24.738975,93.882541,30151,29180,381,590
271,Meghalaya,India,2021-04-24 09:20:58,25.536934,91.278882,15631,14236,157,1238
272,Mizoram,India,2021-04-24 09:20:58,23.309381,92.83822,5283,4627,12,644
273,Nagaland,India,2021-04-24 09:20:58,26.06702,94.470302,12889,12338,94,457
274,Odisha,India,2021-04-24 09:20:58,20.505428,84.418059,394694,356003,1973,36718
275,Puducherry,India,2021-04-24 09:20:58,11.882658,78.86498,51372,44314,728,6330
276,Punjab,India,2021-04-24 09:20:58,30.841465,75.40879,326447,274240,8264,43943
277,Rajasthan,India,2021-04-24 09:20:58,26.583423,73.847973,483273,362526,3453,117294
278,Sikkim,India,2021-04-24 09:20:58,27.571671,88.472712,7037,6207,137,693
279,Tamil Nadu,India,2021-04-24 09:20:58,11.006091,78.400624,1051487,943044,13395,95048
280,Telangana,India,2021-04-24 09:20:58,18.1124,79.0193,387106,326997,1961,58148
281,Tripura,India,2021-04-24 09:20:58,23.746783,91.743565,34429,33390,394,645
282,Unknown,India,2021-04-24 09:20:58,,,0,0,0,0
283,Uttar Pradesh,India,2021-04-24 09:20:58,26.925425,80.560982,1013370,728980,10737,273653
284,Uttarakhand,India,2021-04-24 09:20:58,30.156447,79.197608,142349,110379,2021,29949
285,West Bengal,India,2021-04-24 09:20:58,23.814082,87.979803,713780,628218,10825,74737
286,,Indonesia,2021-04-24 09:20:58,-0.7893,113.9213,1632248,1487369,44346,100533
287,,Iran,2021-04-24 09:20:58,32.427908,53.688046,2358809,1850791,68746,439272
288,,Iraq,2021-04-24 09:20:58,33.223191,43.679291,1018321,891007,15174,112140
289,,Ireland,2021-04-24 09:20:58,53.1424,-7.6921,245743,23364,4867,217512
290,,Israel,2021-04-24 09:20:58,31.046051,34.851612,837892,829696,6346,1850
291,Abruzzo,Italy,2021-04-24 09:20:58,42.35122196,13.39843823,70203,58607,2360,9236
292,Basilicata,Italy,2021-04-24 09:20:58,40.63947052,15.80514834,22968,16357,513,6098
293,Calabria,Italy,2021-04-24 09:20:58,38.90597598,16.59440194,57078,41530,975,14573
294,Campania,Italy,2021-04-24 09:20:58,40.83956555,14.25084984,379262,281092,6144,92026
295,Emilia-Romagna,Italy,2021-04-24 09:20:58,44.49436681,11.3417208,362801,295521,12731,54549
296,Friuli Venezia Giulia,Italy,2021-04-24 09:20:58,45.6494354,13.76813649,104049,91773,3645,8631
297,Lazio,Italy,2021-04-24 09:20:58,41.89277044,12.48366722,316047,261777,7468,46802
298,Liguria,Italy,2021-04-24 09:20:58,44.41149315,8.9326992,97650,87265,4119,6266
299,Lombardia,Italy,2021-04-24 09:20:58,45.46679409,9.190347404,791137,702119,32569,56449
300,Marche,Italy,2021-04-24 09:20:58,43.61675973,13.5188753,95834,86052,2896,6886
301,Molise,Italy,2021-04-24 09:20:58,41.55774754,14.65916051,13028,11941,467,620
302,P.A. Bolzano,Italy,2021-04-24 09:20:58,46.49933453,11.35662422,70730,68900,1158,672
303,P.A. Trento,Italy,2021-04-24 09:20:58,46.06893511,11.12123097,43468,40896,1333,1239
304,Piemonte,Italy,2021-04-24 09:20:58,45.0732745,7.680687483,339052,309503,11104,18445
305,Puglia,Italy,2021-04-24 09:20:58,41.12559576,16.86736689,226723,171894,5632,49197
306,Sardegna,Italy,2021-04-24 09:20:58,39.21531192,9.110616306,52911,33776,1343,17792
307,Sicilia,Italy,2021-04-24 09:20:58,38.11569725,13.3623567,201420,170871,5265,25284
308,Toscana,Italy,2021-04-24 09:20:58,43.76923077,11.25588885,220973,191474,5992,23507
309,Umbria,Italy,2021-04-24 09:20:58,43.10675841,12.38824698,53705,49246,1336,3123
310,Valle d'Aosta,Italy,2021-04-24 09:20:58,45.73750286,7.320149366,10598,9311,446,841
311,Veneto,Italy,2021-04-24 09:20:58,45.43490485,12.33845213,406066,371556,11203,23307
312,,Jamaica,2021-04-24 09:20:58,18.1096,-77.2975,44642,20275,752,23615
313,Aichi,Japan,2021-04-24 09:20:58,35.035551,137.211621,31771,28011,609,3151
314,Akita,Japan,2021-04-24 09:20:58,39.748679,140.408228,413,331,9,73
315,Aomori,Japan,2021-04-24 09:20:58,40.781541,140.828896,1435,1178,20,237
316,Chiba,Japan,2021-04-24 09:20:58,35.510141,140.198917,32153,30378,613,1162
317,Ehime,Japan,2021-04-24 09:20:58,33.624835,132.856842,2166,1715,30,421
318,Fukui,Japan,2021-04-24 09:20:58,35.846614,136.224654,843,630,33,180
319,Fukuoka,Japan,2021-04-24 09:20:58,33.526032,130.666949,21275,19168,349,1758
320,Fukushima,Japan,2021-04-24 09:20:58,37.378867,140.223295,3181,2697,118,366
321,Gifu,Japan,2021-04-24 09:20:58,35.778671,137.055925,5473,5075,125,273
322,Gunma,Japan,2021-04-24 09:20:58,36.504479,138.985605,5687,5236,103,348
323,Hiroshima,Japan,2021-04-24 09:20:58,34.605309,132.788719,5622,5223,107,292
324,Hokkaido,Japan,2021-04-24 09:20:58,43.385711,142.552318,23153,20980,832,1341
325,Hyogo,Japan,2021-04-24 09:20:58,35.039913,134.828057,28849,22763,655,5431
326,Ibaraki,Japan,2021-04-24 09:20:58,36.303588,140.319591,7737,7079,132,526
327,Ishikawa,Japan,2021-04-24 09:20:58,36.769464,136.771027,2312,1987,69,256
328,Iwate,Japan,2021-04-24 09:20:58,39.593287,141.361777,811,732,31,48
329,Kagawa,Japan,2021-04-24 09:20:58,34.217292,133.969047,1146,970,20,156
330,Kagoshima,Japan,2021-04-24 09:20:58,31.009484,130.430665,2003,1917,30,56
331,Kanagawa,Japan,2021-04-24 09:20:58,35.415312,139.338983,52248,49353,809,2086
332,Kochi,Japan,2021-04-24 09:20:58,33.422519,133.367307,981,933,19,29
333,Kumamoto,Japan,2021-04-24 09:20:58,32.608154,130.745231,3807,3487,78,242
334,Kyoto,Japan,2021-04-24 09:20:58,35.253815,135.443341,11561,10142,179,1240
335,Mie,Japan,2021-04-24 09:20:58,34.508018,136.376013,3489,2970,76,443
336,Miyagi,Japan,2021-04-24 09:20:58,38.446859,140.927086,7879,7010,57,812
337,Miyazaki,Japan,2021-04-24 09:20:58,32.193204,131.299374,2120,2001,21,98
338,Nagano,Japan,2021-04-24 09:20:58,36.132134,138.045528,3674,3260,53,361
339,Nagasaki,Japan,2021-04-24 09:20:58,33.235712,129.608033,1923,1633,40,250
340,Nara,Japan,2021-04-24 09:20:58,34.317451,135.871644,5492,4506,68,918
341,Niigata,Japan,2021-04-24 09:20:58,37.521819,138.918647,2147,1754,17,376
342,Oita,Japan,2021-04-24 09:20:58,33.200697,131.43324,1578,1331,24,223
343,Okayama,Japan,2021-04-24 09:20:58,34.89246,133.826252,3447,2907,38,502
344,Okinawa,Japan,2021-04-24 09:20:58,25.768923,126.668016,11999,10540,134,1325
345,Osaka,Japan,2021-04-24 09:20:58,34.620965,135.507481,74484,55555,1336,17593
346,Port Quarantine,Japan,2021-04-24 09:20:58,,,2638,2493,3,142
347,Saga,Japan,2021-04-24 09:20:58,33.286977,130.115738,1490,1280,14,196
348,Saitama,Japan,2021-04-24 09:20:58,35.997101,139.347635,36491,33664,735,2092
349,Shiga,Japan,2021-04-24 09:20:58,35.215827,136.138064,3435,2923,61,451
350,Shimane,Japan,2021-04-24 09:20:58,35.07076,132.554064,335,296,0,39
351,Shizuoka,Japan,2021-04-24 09:20:58,34.916975,138.407784,6296,5875,120,301
352,Tochigi,Japan,2021-04-24 09:20:58,36.689912,139.819213,5181,4913,71,197
353,Tokushima,Japan,2021-04-24 09:20:58,33.919178,134.242091,1068,685,30,353
354,Tokyo,Japan,2021-04-24 09:20:58,35.711343,139.446921,134606,125991,1853,6762
355,Tottori,Japan,2021-04-24 09:20:58,35.359069,133.863619,353,270,2,81
356,Toyama,Japan,2021-04-24 09:20:58,36.637464,137.269346,1249,1052,29,168
357,Unknown,Japan,2021-04-24 09:20:58,,,8,8,0,0
358,Wakayama,Japan,2021-04-24 09:20:58,33.911879,135.505446,1979,1547,22,410
359,Yamagata,Japan,2021-04-24 09:20:58,38.448396,140.102154,1418,1189,31,198
360,Yamaguchi,Japan,2021-04-24 09:20:58,34.20119,131.573293,1674,1419,43,212
361,Yamanashi,Japan,2021-04-24 09:20:58,35.612364,138.611489,1120,1029,19,72
362,,Jordan,2021-04-24 09:20:58,31.24,36.51,699164,661432,8514,29218
363,,Kazakhstan,2021-04-24 09:20:58,48.0196,66.9237,355918,310933,3304,41681
364,,Kenya,2021-04-24 09:20:58,-0.0236,37.9062,155165,106093,2583,46489
365,,"Korea, South",2021-04-24 09:20:58,35.907757,127.766922,118243,107781,1812,8650
366,,Kosovo,2021-04-24 09:20:58,42.602636,20.902977,102720,89432,2115,11173
367,,Kuwait,2021-04-24 09:20:58,29.31166,47.481766,264198,247136,1502,15560
368,,Kyrgyzstan,2021-04-24 09:20:58,41.20438,74.766098,93603,87880,1578,4145
369,,Laos,2021-04-24 09:20:58,19.85627,102.495496,159,49,0,110
370,,Latvia,2021-04-24 09:20:58,56.8796,24.6032,114244,103953,2094,8197
371,,Lebanon,2021-04-24 09:20:58,33.8547,35.8623,518104,441631,7090,69383
372,,Lesotho,2021-04-24 09:20:58,-29.61,28.2336,10723,6267,316,4140
373,,Liberia,2021-04-24 09:20:58,6.428055,-9.429499,2097,1940,85,72
374,,Libya,2021-04-24 09:20:58,26.3351,17.228331,174752,160113,2947,11692
375,,Liechtenstein,2021-04-24 09:20:58,47.14,9.55,2855,2724,57,74
376,,Lithuania,2021-04-24 09:20:58,55.1694,23.8813,240522,217779,3841,18902
377,,Luxembourg,2021-04-24 09:20:58,49.8153,6.1296,66007,62183,790,3034
378,,MS Zaandam,2021-04-24 09:20:58,,,9,7,2,0
379,,Madagascar,2021-04-24 09:20:58,-18.766947,46.869107,34775,27646,588,6541
380,,Malawi,2021-04-24 09:20:58,-13.2543,34.3015,33989,31864,1145,980
381,,Malaysia,2021-04-24 09:20:58,4.210484,101.975766,387535,363608,1415,22512
382,,Maldives,2021-04-24 09:20:58,3.2028,73.2207,27403,24116,71,3216
383,,Mali,2021-04-24 09:20:58,17.570692,-3.996166,13504,7804,460,5240
384,,Malta,2021-04-24 09:20:58,35.9375,14.3754,30129,29204,412,513
385,,Marshall Islands,2021-04-24 09:20:58,7.1315,171.1845,4,4,0,0
386,,Mauritania,2021-04-24 09:20:58,21.0079,-10.9408,18207,17560,454,193
387,,Mauritius,2021-04-24 09:20:58,-20.348404,57.552152,1205,996,16,193
388,Aguascalientes,Mexico,2021-04-24 09:20:58,21.8853,-102.2916,25813,0,2350,23463
389,Baja California,Mexico,2021-04-24 09:20:58,30.8406,-115.2838,47421,0,8032,39389
390,Baja California Sur,Mexico,2021-04-24 09:20:58,26.0444,-111.6661,29882,0,1337,28545
391,Campeche,Mexico,2021-04-24 09:20:58,19.8301,-90.5349,9263,0,1181,8082
392,Chiapas,Mexico,2021-04-24 09:20:58,16.7569,-93.1292,10797,0,1532,9265
393,Chihuahua,Mexico,2021-04-24 09:20:58,28.633,-106.0691,51011,0,6582,44429
394,Ciudad de Mexico,Mexico,2021-04-24 09:20:58,19.4326,-99.1332,634752,0,32241,602511
395,Coahuila,Mexico,2021-04-24 09:20:58,27.0587,-101.7068,67755,0,6164,61591
396,Colima,Mexico,2021-04-24 09:20:58,19.1223,-104.0072,11142,0,1171,9971
397,Durango,Mexico,2021-04-24 09:20:58,24.5593,-104.6588,33259,0,2361,30898
398,Guanajuato,Mexico,2021-04-24 09:20:58,21.019,-101.2574,130140,0,10471,119669
399,Guerrero,Mexico,2021-04-24 09:20:58,17.4392,-99.5451,39244,0,4293,34951
400,Hidalgo,Mexico,2021-04-24 09:20:58,20.0911,-98.7624,37949,0,6050,31899
401,Jalisco,Mexico,2021-04-24 09:20:58,20.6595,-103.3494,84833,0,11777,73056
402,Mexico,Mexico,2021-04-24 09:20:58,19.4969,-99.7233,242530,0,33643,208887
403,Michoacan,Mexico,2021-04-24 09:20:58,19.5665,-101.7068,46837,0,5510,41327
404,Morelos,Mexico,2021-04-24 09:20:58,18.6813,-99.1013,31795,0,3034,28761
405,Nayarit,Mexico,2021-04-24 09:20:58,21.7514,-104.8455,11670,0,1777,9893
406,Nuevo Leon,Mexico,2021-04-24 09:20:58,25.5922,-99.9962,121975,0,9272,112703
407,Oaxaca,Mexico,2021-04-24 09:20:58,17.0732,-96.7266,45580,0,3427,42153
408,Puebla,Mexico,2021-04-24 09:20:58,19.0414,-98.2063,82479,0,11178,71301
409,Queretaro,Mexico,2021-04-24 09:20:58,20.5888,-100.3899,67583,0,4102,63481
410,Quintana Roo,Mexico,2021-04-24 09:20:58,19.1817,-88.4791,22616,0,2591,20025
411,San Luis Potosi,Mexico,2021-04-24 09:20:58,22.1565,-100.9855,62043,0,5142,56901
412,Sinaloa,Mexico,2021-04-24 09:20:58,25.1721,-107.4795,37474,0,5959,31515
413,Sonora,Mexico,2021-04-24 09:20:58,29.2972,-110.3309,72772,0,6472,66300
414,Tabasco,Mexico,2021-04-24 09:20:58,17.8409,-92.6189,63683,0,4014,59669
415,Tamaulipas,Mexico,2021-04-24 09:20:58,24.2669,-98.8363,56127,0,4810,51317
416,Tlaxcala,Mexico,2021-04-24 09:20:58,19.3139,-98.2404,19294,0,2375,16919
417,Unknown,Mexico,2021-04-24 09:20:58,,,0,1845008,0,-1845008
418,Veracruz,Mexico,2021-04-24 09:20:58,19.1738,-96.1342,59298,0,9346,49952
419,Yucatan,Mexico,2021-04-24 09:20:58,20.7099,-89.0943,36665,0,3575,33090
420,Zacatecas,Mexico,2021-04-24 09:20:58,22.7709,-102.5832,29748,0,2735,27013
421,,Micronesia,2021-04-24 09:20:58,7.4256,150.5508,1,1,0,0
422,,Moldova,2021-04-24 09:20:58,47.4116,28.3699,248518,235965,5691,6862
423,,Monaco,2021-04-24 09:20:58,43.7333,7.4167,2426,2317,31,78
424,,Mongolia,2021-04-24 09:20:58,46.8625,103.8467,29219,14745,74,14400
425,,Montenegro,2021-04-24 09:20:58,42.708678,19.37439,96348,92142,1457,2749
426,,Morocco,2021-04-24 09:20:58,31.7917,-7.0926,508530,494415,8983,5132
427,,Mozambique,2021-04-24 09:20:58,-18.665695,35.529562,69597,62408,806,6383
428,,Namibia,2021-04-24 09:20:58,-22.9576,18.4904,47383,45278,622,1483
429,,Nepal,2021-04-24 09:20:58,28.1667,84.25,294601,276755,3122,14724
430,Aruba,Netherlands,2021-04-24 09:20:58,12.5211,-69.9683,10505,10069,97,339
431,"Bonaire, Sint Eustatius and Saba",Netherlands,2021-01-08 23:22:27,12.1784,-68.2385,196,180,3,13
432,Curacao,Netherlands,2021-04-24 09:20:58,12.1696,-68.99,12058,10291,102,1665
433,Drenthe,Netherlands,2021-04-24 09:20:58,52.862485,6.618435,29861,0,341,29520
434,Flevoland,Netherlands,2021-04-24 09:20:58,52.550383,5.515162,32512,0,232,32280
435,Friesland,Netherlands,2021-04-24 09:20:58,53.087337,5.7925,37719,0,459,37260
436,Gelderland,Netherlands,2021-04-24 09:20:58,52.061738,5.939114,160476,0,1948,158528
437,Groningen,Netherlands,2021-04-24 09:20:58,53.217922,6.741514,34236,0,245,33991
438,Limburg,Netherlands,2021-04-24 09:20:58,51.209227,5.93387,96447,0,1565,94882
439,Noord-Brabant,Netherlands,2021-04-24 09:20:58,51.561174,5.184942,229985,0,3057,226928
440,Noord-Holland,Netherlands,2021-04-24 09:20:58,52.600906,4.918688,245594,0,2491,243103
441,Overijssel,Netherlands,2021-04-24 09:20:58,52.444558,6.441722,94198,0,1101,93097
442,Sint Maarten,Netherlands,2021-04-24 09:20:58,18.0425,-63.0548,2214,2174,27,13
443,Unknown,Netherlands,2021-04-24 09:20:58,,,3370,0,13,3357
444,Utrecht,Netherlands,2021-04-24 09:20:58,52.084251,5.163824,111740,0,1231,110509
445,Zeeland,Netherlands,2021-04-24 09:20:58,51.47936,3.861559,24646,0,233,24413
446,Zuid-Holland,Netherlands,2021-04-24 09:20:58,51.937835,4.462114,344280,0,4100,340180
447,,New Zealand,2021-04-24 09:20:58,-40.9006,174.886,2600,2542,26,32
448,,Nicaragua,2021-04-24 09:20:58,12.865416,-85.207229,6835,4225,181,2429
449,,Niger,2021-04-24 09:20:58,17.607789,8.081666,5143,4812,191,140
450,,Nigeria,2021-04-24 09:20:58,9.082,8.6753,164633,154643,2061,7929
451,,North Macedonia,2021-04-24 09:20:58,41.6086,21.7453,149710,127139,4628,17943
452,,Norway,2021-04-24 09:20:58,60.472,8.4689,110061,17998,736,91327
453,,Oman,2021-04-24 09:20:58,21.512583,55.923255,185278,165051,1942,18285
454,Azad Jammu and Kashmir,Pakistan,2021-04-24 09:20:58,34.027401,73.947253,16327,13589,458,2280
455,Balochistan,Pakistan,2021-04-24 09:20:58,28.328492,65.898403,21477,20105,230,1142
456,Gilgit-Baltistan,Pakistan,2021-04-24 09:20:58,35.792146,74.982138,5247,5033,104,110
457,Islamabad,Pakistan,2021-04-24 09:20:58,33.665087,73.121219,72613,59080,657,12876
458,Khyber Pakhtunkhwa,Pakistan,2021-04-24 09:20:58,34.485332,72.09169,112140,94675,3066,14399
459,Punjab,Pakistan,2021-04-24 09:20:58,30.811346,72.139132,285542,232135,7897,45510
460,Sindh,Pakistan,2021-04-24 09:20:58,26.009446,68.776807,276670,261871,4587,10212
461,,Panama,2021-04-24 09:20:58,8.538,-80.7821,362358,352255,6200,3903
462,,Papua New Guinea,2021-04-24 09:20:58,-6.314993,143.95555,10338,7364,99,2199
463,,Paraguay,2021-04-24 09:20:58,-23.4425,-58.4438,263134,215702,5715,41717
464,Amazonas,Peru,2021-04-24 09:20:58,-5.077253,-78.050172,25367,0,418,24949
465,Ancash,Peru,2021-04-24 09:20:58,-9.407125,-77.671795,59735,0,2479,57256
466,Apurimac,Peru,2021-04-24 09:20:58,-14.027713,-72.975378,17816,0,416,17400
467,Arequipa,Peru,2021-04-24 09:20:58,-15.843524,-72.475539,70343,0,2323,68020
468,Ayacucho,Peru,2021-04-24 09:20:58,-14.091648,-74.08344,25458,0,692,24766
469,Cajamarca,Peru,2021-04-24 09:20:58,-6.430284,-78.745596,48543,0,1117,47426
470,Callao,Peru,2021-04-24 09:20:58,-11.954609,-77.136042,89279,0,3085,86194
471,Cusco,Peru,2021-04-24 09:20:58,-13.191068,-72.153609,51390,0,1067,50323
472,Huancavelica,Peru,2021-04-24 09:20:58,-13.023888,-75.00277,12491,0,346,12145
473,Huanuco,Peru,2021-04-24 09:20:58,-9.421676,-76.040642,29189,0,899,28290
474,Ica,Peru,2021-04-24 09:20:58,-14.235097,-75.574821,47416,0,2639,44777
475,Junin,Peru,2021-04-24 09:20:58,-11.541783,-74.876968,58354,0,2005,56349
476,La Libertad,Peru,2021-04-24 09:20:58,-7.92139,-78.370238,62393,0,3599,58794
477,Lambayeque,Peru,2021-04-24 09:20:58,-6.353049,-79.824113,47592,0,2431,45161
478,Lima,Peru,2021-04-24 09:20:58,-11.766533,-76.604498,803011,0,25805,777206
479,Loreto,Peru,2021-04-24 09:20:58,-4.124847,-74.424115,37933,0,1387,36546
480,Madre de Dios,Peru,2021-04-24 09:20:58,-11.972699,-70.53172,12557,0,220,12337
481,Moquegua,Peru,2021-04-24 09:20:58,-16.860271,-70.839046,22835,0,520,22315
482,Pasco,Peru,2021-04-24 09:20:58,-10.39655,-75.307635,12417,0,344,12073
483,Piura,Peru,2021-04-24 09:20:58,-5.133361,-80.335861,66991,0,2839,64152
484,Puno,Peru,2021-04-24 09:20:58,-14.995827,-69.922726,27904,0,756,27148
485,San Martin,Peru,2021-04-24 09:20:58,-7.039531,-76.729127,38668,0,1108,37560
486,Tacna,Peru,2021-04-24 09:20:58,-17.644161,-70.27756,22948,0,719,22229
487,Tumbes,Peru,2021-04-24 09:20:58,-3.857496,-80.545255,14715,0,532,14183
488,Ucayali,Peru,2021-04-24 09:20:58,-9.621718,-73.444929,29261,0,858,28403
489,Unknown,Peru,2021-04-24 09:20:58,,,11049,1670805,408,-1660164
490,,Philippines,2021-04-24 09:20:58,12.879721,121.774017,989380,883221,16674,89485
491,,Poland,2021-04-24 09:20:58,51.9194,19.1451,2751632,2422659,65222,263751
492,,Portugal,2021-04-24 09:20:58,39.3999,-8.2245,833397,791751,16957,24689
493,,Qatar,2021-04-24 09:20:58,25.3548,51.1839,200778,178461,413,21904
494,,Romania,2021-04-24 09:20:58,45.9432,24.9668,1042521,963840,27113,51568
495,Adygea Republic,Russia,2021-04-24 09:20:58,44.6939006,40.1520421,14352,13786,171,395
496,Altai Krai,Russia,2021-04-24 09:20:58,52.6932243,82.6931424,49109,44025,2021,3063
497,Altai Republic,Russia,2021-04-24 09:20:58,50.7114101,86.8572186,16784,16493,226,65
498,Amur Oblast,Russia,2021-04-24 09:20:58,52.8032368,128.437295,22216,21345,274,597
499,Arkhangelsk Oblast,Russia,2021-04-24 09:20:58,63.5589686,43.1221646,61475,57661,915,2899
500,Astrakhan Oblast,Russia,2021-04-24 09:20:58,47.1878186,47.608851,32362,30902,718,742
501,Bashkortostan Republic,Russia,2021-04-24 09:20:58,54.8573563,57.1439682,34691,31931,430,2330
502,Belgorod Oblast,Russia,2021-04-24 09:20:58,50.7080119,37.5837615,36222,34172,616,1434
503,Bryansk Oblast,Russia,2021-04-24 09:20:58,52.8873315,33.415853,37624,36764,303,557
504,Buryatia Republic,Russia,2021-04-24 09:20:58,52.7182426,109.492143,36948,35595,831,522
505,Chechen Republic,Russia,2021-04-24 09:20:58,43.3976147,45.6985005,11920,11620,120,180
506,Chelyabinsk Oblast,Russia,2021-04-24 09:20:58,54.4223954,61.1865846,58128,53709,1389,3030
507,Chukotka Autonomous Okrug,Russia,2021-04-24 09:20:58,66.0006475,169.4900869,746,733,7,6
508,Chuvashia Republic,Russia,2021-04-24 09:20:58,55.4259922,47.0849429,23829,21705,1338,786
509,Dagestan Republic,Russia,2021-04-24 09:20:58,43.0574916,47.1332224,32036,29659,1440,937
510,Ingushetia Republic,Russia,2021-04-24 09:20:58,43.11542075,45.01713552,15354,13581,185,1588
511,Irkutsk Oblast,Russia,2021-04-24 09:20:58,56.6370122,104.719221,65251,62260,2191,800
512,Ivanovo Oblast,Russia,2021-04-24 09:20:58,56.9167446,41.4352137,33986,32338,1129,519
513,Jewish Autonomous Okrug,Russia,2021-04-24 09:20:58,48.57527615,132.6630746,4467,4279,125,63
514,Kabardino-Balkarian Republic,Russia,2021-04-24 09:20:58,43.4806048,43.5978976,23585,22700,439,446
